Taxman, Beatles
Eleanor Rigby, Beatles
I'm Only Sleeping, Beatles
Love You To, Beatles
Here There And Everywhere, Beatles
Yellow Submarine, Beatles
She Said She Said, Beatles
Good Day Sunshine, Beatles
And Your Bird Can Sing, Beatles
For No One, Beatles
Doctor Robert, Beatles
I Want to Tell You, Beatles
Got to Get You into My Life, Beatles
Tomorrow Never Knows, Beatles
Planet Telex, Radiohead
The Bends, Radiohead
High and Dry, Radiohead
Fake Plastic Trees, Radiohead
Bones, Radiohead
(Nice Dream), Radiohead
Just, Radiohead
My Iron Lung, Radiohead
Bullet Proof .. I Wish I Was, Radiohead
Black Star, Radiohead
Sulk, Radiohead
Street Spirit (Fade Out), Radiohead
Sgt. Pepper's Lonely Hearts Club Band, Beatles
With a little help from my friends, Beatles
Lucy in the Sky with Diamonds, Beatles
Getting Better, Beatles
Fixing a Hole, Beatles
She's Leaving Home, Beatles
Being for the Benefit of Mr. Kite!, Beatles
Within You Without You, Beatles
When I'm Sixty-Four, Beatles
Lovely Rita, Beatles
Good Morning Good Morning, Beatles
Sgt. Pepper's Lonely Hearts Club Band (Reprise), Beatles
A Day in the Life, Beatles
Strawberry Fields Forever, Beatles
Penny Lane, Beatles
Airbag, Radiohead
Paranoid Android, Radiohead
Subterranean Homesick Alien, Radiohead
Exit Music (For a Film), Radiohead
Let Down, Radiohead
Karma Police, Radiohead
Fitter Happier, Radiohead
Electioneering, Radiohead
Climbing Up the Walls, Radiohead
No Surprises, Radiohead
Lucky, Radiohead
The Tourist, Radiohead
Back in the U.S.S.R., Beatles
Dear Prudence, Beatles
Glass Onion, Beatles
Ob-La-Di Ob-La-Da, Beatles
Wild Honey Pie, Beatles
The Continuing Story of Bungalow Bill, Beatles
While My Guitar Gently Weeps, Beatles
Happiness Is a Warm Gun, Beatles
Martha My Dear, Beatles
I'm So Tired, Beatles
Blackbird, Beatles
Piggies, Beatles
Rocky Raccoon, Beatles
Don't Pass Me By, Beatles
Why Don't We Do It in the Road?, Beatles
I Will, Beatles
Julia, Beatles
Birthday, Beatles
Yer Blues, Beatles
Mother Nature's Son, Beatles
Everybody's Got Something to Hide Except Me and My Monkey, Beatles
Sexy Sadie, Beatles
Helter Skelter, Beatles
Long, Long, Long, Beatles
Wild Honey Pie, Beatles
Savoy Truffle, Beatles
Cry Baby Cry, Beatles
Revolution 9, Beatles
Good Night, Beatles
Tangled Up in Blue, Dylan
Simple Twist of Fate, Dylan
You're A Big Girl Now, Dylan
Idiot Wind, Dylan
You're Gonna Make Me Lonesome When You Go, Dylan
Meet Me In The Morning, Dylan
Lily, Rosemary And The Jack Of Hearts, Dylan
If You See Her, Say Hello, Dylan
Shelter From The Storm, Dylan
Buckets Of Rain, Dylan
Come Together, Beatles
Maxwell's Silver Hammer, Beatles
Oh! Darling, Beatles
Octopus's Garden, Beatles
I Want You (She's So Heavy), Beatles
Here comes the sun, Beatles
Because, Beatles
You Never Give Me Your Money, Beatles
Sun King, Beatles
Mean Mr. Mustard, Beatles
Polythene Pam, Beatles
She Came in Through the Bathroom Window, Beatles
Golden Slumbers, Beatles
Carry That Weight, Beatles
The End, Beatles
Her Majesty, Beatles
The Queen is Dead, Smiths
Frankly, Mr Shankly, Smiths
I Know It's Over, Smiths
Never Had No One Ever, Smiths
Cemetry Gates, Smiths
Bigmouth Strikes Again, Smiths
The Boy with the Thorn in His Side, Smiths
Vicar in a Tutu, Smiths
There Is a Light That Never Goes Out, Smiths
Some Girls Are Bigger Than Others, Smiths
